seed,metric,partition,model0,model1,cifar10,digit,mnist,partition_metric,shape,svhn
1,lcs_knn,partition3,all0,all1,0.074000,0.893103,0.099800,0.888579,0.401750,0.091936
1,cka,partition3,all0,all1,0.427354,0.816433,0.308399,0.651263,0.871409,0.407946
1,unbiased_cka,partition3,all0,all1,0.426278,0.708142,0.307397,0.648649,0.831293,0.407703
1,cknna,partition3,all0,all1,0.028926,0.548690,0.040925,0.521958,0.229798,0.037943
1,svcca,partition3,all0,all1,0.534018,0.603250,0.417739,0.225466,0.703790,0.571625
1,edit_distance_knn,partition3,all0,all1,0.751020,0.798362,0.751420,0.783529,0.759650,0.751418
2,cycle_knn,partition1,shape,digit,0.036300,0.734483,0.111300,0.020601,0.154750,0.043480
2,mutual_knn,partition1,shape,digit,0.004050,0.170690,0.013470,0.002079,0.018500,0.004971
2,lcs_knn,partition1,shape,digit,0.011000,0.358621,0.031500,0.005069,0.046500,0.011021
2,cka,partition1,shape,digit,0.126420,0.234773,0.130883,0.000420,0.370746,0.166465
2,unbiased_cka,partition1,shape,digit,0.125594,0.229186,0.130541,0.000035,0.364287,0.166574
2,cknna,partition1,shape,digit,0.003274,0.210555,0.011809,0.001996,0.013723,0.003986
2,svcca,partition1,shape,digit,0.155967,0.357512,0.230924,0.029716,0.375933,0.197512
2,edit_distance_knn,partition1,shape,digit,0.750100,0.768276,0.750350,0.750116,0.750775,0.750140
2,cycle_knn,partition2,shape_digit,shape_color,0.068300,0.828448,0.134700,0.185082,0.193000,0.072545
2,mutual_knn,partition2,shape_digit,shape_color,0.008560,0.233707,0.017360,0.023986,0.027500,0.009003
2,lcs_knn,partition2,shape_digit,shape_color,0.019000,0.489655,0.039000,0.055757,0.058250,0.021856
2,cka,partition2,shape_digit,shape_color,0.197112,0.220619,0.043655,0.467373,0.322435,0.242569
2,unbiased_cka,partition2,shape_digit,shape_color,0.196456,0.210422,0.043377,0.465976,0.316058,0.242281
2,cknna,partition2,shape_digit,shape_color,0.005816,0.290779,0.015067,0.021387,0.020381,0.007081
2,svcca,partition2,shape_digit,shape_color,0.293355,0.438228,0.290448,0.576186,0.362956,0.325644
2,edit_distance_knn,partition2,shape_digit,shape_color,0.750250,0.776724,0.750530,0.750763,0.750700,0.750293
2,cycle_knn,partition2,shape_digit,digit_color,0.109100,0.903448,0.257800,0.125419,0.269500,0.159273
2,mutual_knn,partition2,shape_digit,digit_color,0.015410,0.308879,0.037640,0.015490,0.043725,0.024191
2,lcs_knn,partition2,shape_digit,digit_color,0.035700,0.623276,0.080600,0.035947,0.094750,0.053432
2,cka,partition2,shape_digit,digit_color,0.270770,0.351494,0.161956,0.367645,0.510878,0.378215
2,unbiased_cka,partition2,shape_digit,digit_color,0.269680,0.316612,0.160986,0.365734,0.469674,0.377593
2,cknna,partition2,shape_digit,digit_color,0.012157,0.367785,0.032533,0.011841,0.036906,0.020835
2,svcca,partition2,shape_digit,digit_color,0.382823,0.544168,0.392633,0.447972,0.455145,0.524686
2,edit_distance_knn,partition2,shape_digit,digit_color,0.750590,0.782586,0.751060,0.750474,0.751150,0.750707
2,cycle_knn,partition2,shape_color,digit_color,0.098200,0.867241,0.145400,0.101516,0.569500,0.140020
2,mutual_knn,partition2,shape_color,digit_color,0.013090,0.289655,0.018210,0.011263,0.134000,0.018252
2,lcs_knn,partition2,shape_color,digit_color,0.029200,0.536207,0.040900,0.027251,0.262750,0.042085
2,cka,partition2,shape_color,digit_color,0.204931,0.780986,0.047407,0.173023,0.671872,0.403049
2,unbiased_cka,partition2,shape_color,digit_color,0.204190,0.728416,0.047120,0.170727,0.592202,0.402841
2,cknna,partition2,shape_color,digit_color,0.010322,0.328473,0.015691,0.008069,0.123894,0.015306
2,svcca,partition2,shape_color,digit_color,0.345308,0.486364,0.262650,0.226650,0.636172,0.389508
2,edit_distance_knn,partition2,shape_color,digit_color,0.750340,0.777414,0.750470,0.750409,0.755250,0.750586
2,cycle_knn,partition3,all0,all1,0.207000,0.941379,0.365700,0.838542,0.714000,0.233956
2,mutual_knn,partition3,all0,all1,0.034590,0.422500,0.062020,0.616820,0.207900,0.042759
2,lcs_knn,partition3,all0,all1,0.077500,0.802586,0.123300,0.883836,0.372500,0.090402
