seed,metric,frac_overlap,metric_overlap,metric_ood_all_mnist,metric_ood_all_svhn
1,cycle_knn,0.8,0.674500,0.782600,0.489667
1,mutual_knn,0.8,0.227320,0.243480,0.099846
1,lcs_knn,0.8,0.387800,0.426100,0.206016
1,cka,0.8,0.546128,0.709510,0.640177
1,unbiased_cka,0.8,0.541957,0.709040,0.639798
1,cknna,0.8,0.246757,0.236404,0.104157
1,svcca,0.8,0.463619,0.660051,0.594899
1,edit_distance_knn,0.8,0.759840,0.760300,0.754660
2,cycle_knn,0.1,0.603900,0.752900,0.422864
2,mutual_knn,0.1,0.187550,0.229870,0.076544
2,lcs_knn,0.1,0.336700,0.403100,0.163145
2,cka,0.1,0.460792,0.712254,0.550383
2,unbiased_cka,0.1,0.455886,0.711833,0.549948
2,cknna,0.1,0.210415,0.224272,0.083212
2,svcca,0.1,0.439475,0.645458,0.553195
2,edit_distance_knn,0.1,0.758340,0.759340,0.753622
2,cycle_knn,0.4,0.631600,0.767400,0.459665
2,mutual_knn,0.4,0.199620,0.238440,0.086121
2,lcs_knn,0.4,0.347700,0.421400,0.182545
2,cka,0.4,0.490560,0.759606,0.640867
2,unbiased_cka,0.4,0.485892,0.759266,0.640556
2,cknna,0.4,0.227205,0.232937,0.090510
2,svcca,0.4,0.406046,0.650680,0.589987
2,edit_distance_knn,0.4,0.758880,0.760340,0.754210
2,cycle_knn,0.3,0.626600,0.777300,0.429164
2,mutual_knn,0.3,0.197740,0.235360,0.080920
2,lcs_knn,0.3,0.348600,0.411300,0.176744
2,cka,0.3,0.483149,0.733235,0.584042
2,unbiased_cka,0.3,0.478418,0.732872,0.583629
2,cknna,0.3,0.224009,0.234255,0.083871
2,svcca,0.3,0.423506,0.653132,0.591043
2,edit_distance_knn,0.3,0.758590,0.760070,0.754033
2,cycle_knn,0.5,0.645600,0.740900,0.445567
2,mutual_knn,0.5,0.208320,0.217210,0.084131
2,lcs_knn,0.5,0.352100,0.398500,0.176091
2,cka,0.5,0.499821,0.681182,0.588698
2,unbiased_cka,0.5,0.495250,0.680734,0.588323
2,cknna,0.5,0.232126,0.212969,0.088443
2,svcca,0.5,0.426019,0.642710,0.598379
2,edit_distance_knn,0.5,0.758640,0.759380,0.754010
2,cycle_knn,0.2,0.612500,0.768700,0.448563
2,mutual_knn,0.2,0.190410,0.231680,0.082898
2,lcs_knn,0.2,0.328200,0.406500,0.180009
2,cka,0.2,0.471868,0.660518,0.578237
2,unbiased_cka,0.2,0.467067,0.659927,0.577838
2,cknna,0.2,0.215197,0.226056,0.090569
2,svcca,0.2,0.420624,0.626033,0.578576
2,edit_distance_knn,0.2,0.757960,0.759270,0.754080
2,cycle_knn,0.0,0.606100,0.756300,0.484289
2,mutual_knn,0.0,0.183800,0.227560,0.091664
2,lcs_knn,0.0,0.330300,0.398400,0.197603
2,cka,0.0,0.451552,0.693469,0.607204
2,unbiased_cka,0.0,0.446524,0.693039,0.606814
2,cknna,0.0,0.211524,0.224107,0.100544
2,svcca,0.0,0.418809,0.675290,0.582986
2,edit_distance_knn,0.0,0.757910,0.759540,0.754786
2,cycle_knn,0.6,0.642100,0.793700,0.467194
2,mutual_knn,0.6,0.210930,0.245390,0.089547
2,lcs_knn,0.6,0.366700,0.429600,0.186770
2,cka,0.6,0.507414,0.690822,0.592970
2,unbiased_cka,0.6,0.502862,0.690360,0.592544
2,cknna,0.6,0.235879,0.238560,0.096252
2,svcca,0.6,0.460518,0.647029,0.584007
2,edit_distance_knn,0.6,0.758970,0.760360,0.754445
2,cycle_knn,0.9,0.675300,0.783300,0.515558
2,mutual_knn,0.9,0.233180,0.248190,0.102770
2,lcs_knn,0.9,0.400900,0.433600,0.212162
2,cka,0.9,0.552931,0.755382,0.664505
2,unbiased_cka,0.9,0.548778,0.755012,0.664150
2,cknna,0.9,0.259533,0.243753,0.107470
2,svcca,0.9,0.469566,0.707511,0.600445
2,edit_distance_knn,0.9,0.760400,0.760800,0.754994
2,cycle_knn,0.8,0.675700,0.770300,0.504955
2,mutual_knn,0.8,0.232650,0.234190,0.102766
2,lcs_knn,0.8,0.395400,0.411100,0.212047
2,cka,0.8,0.547965,0.784347,0.661230
2,unbiased_cka,0.8,0.543814,0.784109,0.660880
2,cknna,0.8,0.253120,0.229390,0.107576
2,svcca,0.8,0.445558,0.652858,0.592734
2,edit_distance_knn,0.8,0.759720,0.760530,0.755109
