seed,metric,frac_overlap,metric_common,metric_OOD_for_one,metric_OOD_for_all
3,unbiased_cka,0.0,-1.000000,0.781301,-1.000000
3,cknna,0.0,-1.000000,0.333273,-1.000000
3,svcca,0.0,-1.000000,0.757359,-1.000000
3,edit_distance_knn,0.0,-1.000000,0.772254,-1.000000
4,cycle_knn,0.3333333333333333,0.660927,0.775415,0.458341
4,mutual_knn,0.3333333333333333,0.158195,0.331102,0.096366
4,lcs_knn,0.3333333333333333,0.313463,0.639171,0.209463
4,cka,0.3333333333333333,0.815181,0.796134,0.619437
4,unbiased_cka,0.3333333333333333,0.815046,0.796057,0.618659
4,cknna,0.3333333333333333,0.182030,0.465862,0.109242
4,svcca,0.3333333333333333,0.744755,0.754563,0.679284
4,edit_distance_knn,0.3333333333333333,0.759995,0.784590,0.756141
4,cycle_knn,1.0,0.956927,-1.000000,0.835561
4,mutual_knn,1.0,0.648063,-1.000000,0.440044
4,lcs_knn,1.0,1.151073,-1.000000,0.710000
4,cka,1.0,0.991943,-1.000000,0.976394
4,unbiased_cka,1.0,0.991923,-1.000000,0.976369
4,cknna,1.0,0.703277,-1.000000,0.428855
4,svcca,1.0,0.888804,-1.000000,0.902466
4,edit_distance_knn,1.0,0.820141,-1.000000,0.776424
4,cycle_knn,0.6666666666666666,0.928537,0.644634,0.800829
4,mutual_knn,0.6666666666666666,0.642122,0.158698,0.337849
4,lcs_knn,0.6666666666666666,1.226488,0.309805,0.593463
4,cka,0.6666666666666666,0.991235,0.940815,0.975765
4,unbiased_cka,0.6666666666666666,0.991221,0.940796,0.975729
4,cknna,0.6666666666666666,0.728509,0.163198,0.334358
4,svcca,0.6666666666666666,0.826785,0.682627,0.845988
4,edit_distance_knn,0.6666666666666666,0.833332,0.758883,0.771112
4,cycle_knn,0.0,-1.000000,0.737415,-1.000000
4,mutual_knn,0.0,-1.000000,0.262683,-1.000000
4,lcs_knn,0.0,-1.000000,0.505073,-1.000000
4,cka,0.0,-1.000000,0.795296,-1.000000
4,unbiased_cka,0.0,-1.000000,0.795211,-1.000000
4,cknna,0.0,-1.000000,0.349876,-1.000000
4,svcca,0.0,-1.000000,0.761819,-1.000000
4,edit_distance_knn,0.0,-1.000000,0.773493,-1.000000
