seed,metric,frac_overlap,metric_shakespeare,metric_tinystories,metric_wikitext
4,lcs_knn,0.0,1.528146,0.219171,1.288390
4,cka,0.0,0.806267,0.797079,0.769620
4,unbiased_cka,0.0,0.806082,0.796390,0.768442
4,cknna,0.0,0.857163,0.104287,0.792739
4,svcca,0.0,0.698146,0.718571,0.718900
4,edit_distance_knn,0.0,0.855712,0.755917,0.834898
5,cycle_knn,0.6,1.000000,0.474878,0.999219
5,mutual_knn,0.6,0.847512,0.107366,0.708668
5,lcs_knn,0.6,1.528829,0.224244,1.294488
5,cka,0.6,0.825539,0.817272,0.851987
5,unbiased_cka,0.6,0.825374,0.816292,0.850240
5,cknna,0.6,0.855052,0.102272,0.790919
5,svcca,0.6,0.733567,0.699829,0.710073
5,edit_distance_knn,0.6,0.856302,0.755868,0.836937
5,cycle_knn,0.2,0.999902,0.479024,0.997756
5,mutual_knn,0.2,0.855615,0.110849,0.681054
5,lcs_knn,0.2,1.540585,0.228829,1.227366
5,cka,0.2,0.824931,0.820425,0.830508
5,unbiased_cka,0.2,0.824758,0.819455,0.828389
5,cknna,0.2,0.861308,0.105899,0.770543
5,svcca,0.2,0.717408,0.732764,0.658585
5,edit_distance_knn,0.2,0.857512,0.755644,0.830395
5,cycle_knn,1.0,0.999951,0.567756,0.998098
5,mutual_knn,1.0,0.858673,0.146073,0.698956
5,lcs_knn,1.0,1.571220,0.288927,1.261659
5,cka,1.0,0.892803,0.860237,0.884870
5,unbiased_cka,1.0,0.892656,0.859289,0.881699
5,cknna,1.0,0.865213,0.132153,0.786678
5,svcca,1.0,0.783460,0.754609,0.727643
5,edit_distance_knn,1.0,0.861434,0.757239,0.833927
5,cycle_knn,0.4,0.999805,0.505512,0.998439
5,mutual_knn,0.4,0.849420,0.116215,0.682644
5,lcs_knn,0.4,1.540683,0.239171,1.229658
5,cka,0.4,0.850235,0.820998,0.890670
5,unbiased_cka,0.4,0.850080,0.820276,0.888745
5,cknna,0.4,0.855490,0.108373,0.773204
5,svcca,0.4,0.718368,0.743177,0.730017
5,edit_distance_knn,0.4,0.857522,0.756210,0.829971
5,cycle_knn,0.8,0.999805,0.553171,0.999024
5,mutual_knn,0.8,0.857376,0.150790,0.726639
5,lcs_knn,0.8,1.555122,0.302439,1.323610
5,cka,0.8,0.837316,0.857550,0.919377
5,unbiased_cka,0.8,0.837142,0.856676,0.916958
5,cknna,0.8,0.863620,0.139420,0.804409
5,svcca,0.8,0.801703,0.752199,0.713066
5,edit_distance_knn,0.8,0.859244,0.757971,0.839649
5,cycle_knn,0.0,0.999805,0.452585,0.998146
5,mutual_knn,0.0,0.845439,0.095420,0.696356
5,lcs_knn,0.0,1.521463,0.200195,1.252195
5,cka,0.0,0.809834,0.775793,0.749758
5,unbiased_cka,0.0,0.809643,0.774894,0.747268
5,cknna,0.0,0.852728,0.092064,0.775541
5,svcca,0.0,0.699669,0.681434,0.668944
5,edit_distance_knn,0.0,0.855200,0.755220,0.832356
