seed,metric,frac_overlap,metric_shakespeare,metric_tinystories,metric_wikitext
3,cknna,1.0,0.925147,0.647431,0.911093
3,svcca,1.0,0.716697,0.780664,0.779347
3,edit_distance_knn,1.0,0.902834,0.801102,0.889673
3,cycle_knn,0.4,1.000000,0.932439,0.999805
3,mutual_knn,0.4,0.917732,0.622176,0.894727
3,lcs_knn,0.4,1.866781,0.998585,1.763854
3,cka,0.4,0.897004,0.970789,0.937165
3,unbiased_cka,0.4,0.896253,0.970679,0.936678
3,cknna,0.4,0.921642,0.639148,0.908177
3,svcca,0.4,0.680841,0.784274,0.767494
3,edit_distance_knn,0.4,0.900498,0.799654,0.887644
3,cycle_knn,0.8,0.999951,0.933024,0.999854
3,mutual_knn,0.8,0.919546,0.626254,0.896122
3,lcs_knn,0.8,1.889220,1.012195,1.777951
3,cka,0.8,0.892813,0.972969,0.930982
3,unbiased_cka,0.8,0.892207,0.972864,0.930309
3,cknna,0.8,0.925091,0.643369,0.909809
3,svcca,0.8,0.699448,0.804156,0.810527
3,edit_distance_knn,0.8,0.903532,0.800820,0.889732
3,cycle_knn,0.0,1.000000,0.931951,0.999902
3,mutual_knn,0.0,0.917058,0.624893,0.893566
3,lcs_knn,0.0,1.874341,0.999902,1.768098
3,cka,0.0,0.900341,0.971880,0.927658
3,unbiased_cka,0.0,0.899771,0.971772,0.927087
3,cknna,0.0,0.920367,0.645261,0.907745
3,svcca,0.0,0.688952,0.843939,0.781645
3,edit_distance_knn,0.0,0.901771,0.799790,0.888439
4,cycle_knn,0.6,0.999902,0.930195,0.999951
4,mutual_knn,0.6,0.920000,0.611151,0.903171
4,lcs_knn,0.6,1.878293,0.992000,1.787854
4,cka,0.6,0.892024,0.966893,0.936169
4,unbiased_cka,0.6,0.891419,0.966776,0.935716
4,cknna,0.6,0.922310,0.630998,0.913922
4,svcca,0.6,0.707999,0.827721,0.762123
4,edit_distance_knn,0.6,0.901873,0.799132,0.890659
4,cycle_knn,0.2,1.000000,0.937707,0.999854
4,mutual_knn,0.2,0.918961,0.614083,0.906268
4,lcs_knn,0.2,1.869220,0.992244,1.803415
4,cka,0.2,0.896037,0.968330,0.942269
4,unbiased_cka,0.2,0.895452,0.968217,0.941773
4,cknna,0.2,0.922122,0.635291,0.918105
4,svcca,0.2,0.707482,0.816763,0.797119
4,edit_distance_knn,0.2,0.900663,0.800005,0.892907
4,cycle_knn,1.0,0.999902,0.934537,0.999951
4,mutual_knn,1.0,0.919390,0.622263,0.902317
4,lcs_knn,1.0,1.880390,1.000146,1.792927
4,cka,1.0,0.890172,0.969837,0.936647
4,unbiased_cka,1.0,0.889605,0.969722,0.936068
4,cknna,1.0,0.921800,0.642745,0.914800
4,svcca,1.0,0.706648,0.837587,0.786562
4,edit_distance_knn,1.0,0.902620,0.799810,0.891234
4,cycle_knn,0.4,0.999951,0.937268,0.999951
4,mutual_knn,0.4,0.921185,0.618059,0.907444
4,lcs_knn,0.4,1.885659,1.000390,1.801317
4,cka,0.4,0.894357,0.969153,0.939690
4,unbiased_cka,0.4,0.893764,0.969039,0.939161
4,cknna,0.4,0.924420,0.638636,0.917470
4,svcca,0.4,0.766512,0.800655,0.776297
4,edit_distance_knn,0.4,0.903605,0.800356,0.892234
4,cycle_knn,0.8,1.000000,0.937561,0.999902
4,mutual_knn,0.8,0.916146,0.621537,0.902932
4,lcs_knn,0.8,1.849707,1.002585,1.783951
4,cka,0.8,0.888938,0.968946,0.933665
4,unbiased_cka,0.8,0.888341,0.968833,0.933212
4,cknna,0.8,0.919546,0.641937,0.913941
4,svcca,0.8,0.718831,0.807272,0.785169
4,edit_distance_knn,0.8,0.897673,0.800317,0.890293
4,cycle_knn,0.0,0.999951,0.936098,0.999951
4,mutual_knn,0.0,0.917659,0.615556,0.903615
4,lcs_knn,0.0,1.862488,0.999610,1.789610
4,cka,0.0,0.884773,0.968403,0.942662
4,unbiased_cka,0.0,0.884209,0.968289,0.942150
4,cknna,0.0,0.921087,0.636073,0.916563
4,svcca,0.0,0.713575,0.773669,0.761850
4,edit_distance_knn,0.0,0.899961,0.800010,0.890741
5,cycle_knn,0.6,1.000000,0.932780,0.999805
5,mutual_knn,0.6,0.917332,0.620790,0.895478
5,lcs_knn,0.6,1.855610,1.000732,1.752146
5,cka,0.6,0.889895,0.971377,0.927269
5,unbiased_cka,0.6,0.889335,0.971269,0.926714
5,cknna,0.6,0.921448,0.642211,0.907332
5,svcca,0.6,0.733969,0.808151,0.806804
5,edit_distance_knn,0.6,0.898951,0.800039,0.885976
5,cycle_knn,0.2,1.000000,0.933024,0.999854
5,mutual_knn,0.2,0.916268,0.620468,0.897722
5,lcs_knn,0.2,1.864537,1.002146,1.764829
5,cka,0.2,0.889857,0.970284,0.937039
5,unbiased_cka,0.2,0.889161,0.970172,0.936512
5,cknna,0.2,0.920080,0.637366,0.909970
5,svcca,0.2,0.753894,0.822413,0.787148
5,edit_distance_knn,0.2,0.900420,0.800468,0.887361
5,cycle_knn,1.0,1.000000,0.931756,0.999902
5,mutual_knn,1.0,0.916741,0.620810,0.898190
5,lcs_knn,1.0,1.858585,1.002683,1.761220
5,cka,1.0,0.887010,0.970863,0.934982
5,unbiased_cka,1.0,0.886300,0.970754,0.934527
5,cknna,1.0,0.920604,0.639817,0.908461
5,svcca,1.0,0.734110,0.811852,0.772163
5,edit_distance_knn,1.0,0.899629,0.800112,0.886688
5,cycle_knn,0.4,0.999951,0.936000,0.999902
5,mutual_knn,0.4,0.917902,0.619893,0.899468
5,lcs_knn,0.4,1.859220,1.007707,1.767512
5,cka,0.4,0.904367,0.970866,0.937939
5,unbiased_cka,0.4,0.903781,0.970756,0.937413
5,cknna,0.4,0.921035,0.642673,0.910299
5,svcca,0.4,0.713029,0.811697,0.775965
5,edit_distance_knn,0.4,0.899332,0.800790,0.887527
5,cycle_knn,0.8,0.999902,0.935512,0.999951
5,mutual_knn,0.8,0.920322,0.621259,0.900800
5,lcs_knn,0.8,1.871610,1.000976,1.777024
5,cka,0.8,0.894200,0.970775,0.932766
5,unbiased_cka,0.8,0.893614,0.970663,0.932266
5,cknna,0.8,0.922920,0.638898,0.911970
5,svcca,0.8,0.753017,0.778146,0.825770
5,edit_distance_knn,0.8,0.901015,0.799839,0.888995
5,cycle_knn,0.0,0.999951,0.929415,0.999854
5,mutual_knn,0.0,0.919468,0.616829,0.896302
5,lcs_knn,0.0,1.864829,0.992195,1.759268
5,cka,0.0,0.892493,0.970522,0.922847
5,unbiased_cka,0.0,0.891854,0.970411,0.922272
5,cknna,0.0,0.923470,0.637490,0.908808
5,svcca,0.0,0.739276,0.790654,0.805341
5,edit_distance_knn,0.0,0.899678,0.799556,0.887283
